2023/12/16 銝?? 8:51:50,??蝣拙ㄚ,50嚚?9,40000嚚?9999,??3,5,5,3,1,5,1,5,3,5,3,5,5,5,3,5,3,3,3,3,3,3,3,3
2023/12/16 銝?? 8:59:00,??蝣拙ㄚ,50嚚?9,60000~79999,??1,5,3,3,3,5,1,3,3,3,2,2,3,3,2,2,2,3,3,3,2,3,3,2
2023/12/16 銝?? 9:02:44,??蝣拙ㄚ,50嚚?9,60000~79999,??3,1,1,2,2,5,1,4,4,4,2,4,2,2,2,2,2,3,3,3,2,4,4,1
2023/12/16 銝?? 9:08:28,??蝣拙ㄚ,50嚚?9,60000~79999,??1,4,4,4,3,5,1,4,2,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3
2023/12/16 銝?? 9:22:39,??蝣拙ㄚ,30嚚?9,40000嚚?9999,??3,3,1,1,2,3,1,4,4,4,4,4,4,2,4,4,4,4,5,4,2,4,5,4
2023/12/16 銝?? 9:27:26,??蝣拙ㄚ,50嚚?9,40000嚚?9999,??4,5,4,4,4,5,2,4,1,3,3,3,4,3,3,2,4,1,2,2,2,2,1,2
2023/12/16 銝?? 9:48:37,??蝣拙ㄚ,50嚚?9,80000~99999,??1,4,4,4,2,5,1,4,2,1,1,4,4,3,3,4,2,4,3,2,2,3,3,1
2023/12/16 銝?? 9:53:59,??憭批飛,60嚚?9,60000~79999,??3,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2023/12/16 銝?? 10:24:59,????ㄚ,60嚚?9,80000~99999,??1,5,5,5,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2
2023/12/16 銝?? 10:36:07,??蝣拙ㄚ,30嚚?9,60000~79999,??1,5,5,3,3,5,2,3,1,3,1,3,5,4,4,1,1,5,4,3,5,5,3,5
2023/12/16 銝?? 10:53:22,??憭批飛,50嚚?9,20000嚚?9999,??1,4,4,3,1,5,1,4,3,4,3,3,4,3,2,3,2,2,3,3,2,2,3,3
2023/12/16 銝?? 11:00:42,??蝣拙ㄚ,50嚚?9,60000~79999,??5,3,1,5,2,2,1,5,5,5,5,5,1,2,2,5,2,1,2,1,1,1,1,1
2023/12/16 銝?? 11:52:18,??蝣拙ㄚ,30嚚?9,80000~99999,??3,4,4,3,1,5,1,4,5,4,3,5,3,3,2,3,3,3,5,5,3,5,2,5
2023/12/16 銝?? 12:07:00,??擃?葉,21嚚?9,20000嚚?9999,??3,4,4,2,1,4,4,5,3,4,3,2,3,5,4,5,4,3,3,4,1,1,4,5
2023/12/16 銝?? 12:20:54,??蝣拙ㄚ,50嚚?9,60000~79999,??3,5,2,3,3,4,2,5,4,5,4,4,4,4,4,4,4,4,4,4,3,3,5,4
2023/12/16 銝?? 1:32:22,????ㄚ,60嚚?9,60000~79999,??5,2,1,1,1,4,1,5,4,5,5,5,2,4,4,4,4,2,2,5,1,1,5,1
2023/12/16 銝?? 1:59:54,憟?擃?葉,18嚚?0,40000嚚?9999,??3,3,2,2,3,2,2,4,3,4,2,2,4,3,3,4,4,2,2,3,2,2,2,3
2023/12/16 銝?? 2:36:08,憟?蝣拙ㄚ,40嚚?9,80000~99999,??4,1,2,1,3,2,1,4,4,4,2,4,2,2,1,4,1,2,2,2,2,2,2,2
2023/12/16 銝?? 3:48:18,憟?蝣拙ㄚ,40嚚?9,80000~99999,??4,2,2,2,2,5,1,4,3,2,2,5,4,2,2,4,2,2,4,5,2,5,5,3
2023/12/16 銝?? 4:23:27,憟?憭批飛,21嚚?9,40000嚚?9999,??2,2,3,1,1,5,1,3,1,2,1,2,5,5,5,5,5,4,5,4,5,5,1,5
2023/12/17 銝?? 10:07:27,憟?蝣拙ㄚ,40嚚?9,80000~99999,??1,1,1,1,3,5,1,5,3,4,1,1,3,3,3,3,3,3,3,3,3,3,3,3
2023/12/20 銝?? 12:03:18,??憭批飛,21嚚?9,40000嚚?9999,??1,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
